heading,count,share,cum_share,rank
National Broadband Plan,12,0.000718132854578097,0.8830041891083185,280
Credit Unions,12,0.000718132854578097,0.8837223219628966,281
Residency Permits,11,0.0006582884500299222,0.8843806104129265,282
Protected Disclosures,11,0.0006582884500299222,0.8850388988629564,283
Consular Services,11,0.0006582884500299222,0.8856971873129863,284
Primary Medical Certificates,11,0.0006582884500299222,0.8863554757630162,285
Tax Rebates,11,0.0006582884500299222,0.8870137642130461,286
Budget 2026,11,0.0006582884500299222,0.887672052663076,287
National Council for Special Education,11,0.0006582884500299222,0.8883303411131059,288
Broadband Infrastructure,11,0.0006582884500299222,0.8889886295631358,289
Social Welfare Appeals,11,0.0006582884500299222,0.8896469180131658,290
Equality Issues,11,0.0006582884500299222,0.8903052064631957,291
Language Schools,11,0.0006582884500299222,0.8909634949132256,292
Energy Conservation,11,0.0006582884500299222,0.8916217833632555,293
Rights of People with Disabilities,11,0.0006582884500299222,0.8922800718132854,294
Northern Ireland,11,0.0006582884500299222,0.8929383602633153,295
Immigration Support Services,11,0.0006582884500299222,0.8935966487133452,296
An Ghaeltacht,11,0.0006582884500299222,0.8942549371633751,297
EU Summits,11,0.0006582884500299222,0.894913225613405,298
Parking Provision,11,0.0006582884500299222,0.8955715140634349,299
Public Sector Staff,11,0.0006582884500299222,0.8962298025134648,300
Property Management Companies,11,0.0006582884500299222,0.8968880909634948,301
Departmental Functions,10,0.0005984440454817474,0.8974865350089765,302
EU Meetings,10,0.0005984440454817474,0.8980849790544582,303
Trade Relations,10,0.0005984440454817474,0.8986834230999399,304
Ombudsman and Information Commissioner,10,0.0005984440454817474,0.8992818671454216,305
Fire Service,10,0.0005984440454817474,0.8998803111909033,306
Information and Communications Technology,10,0.0005984440454817474,0.900478755236385,307
International Relations,10,0.0005984440454817474,0.9010771992818667,308
Charitable and Voluntary Organisations,10,0.0005984440454817474,0.9016756433273484,309
Hospital Transfers,10,0.0005984440454817474,0.9022740873728301,310
Care Services,10,0.0005984440454817474,0.9028725314183118,311
National Treatment Purchase Fund,10,0.0005984440454817474,0.9034709754637935,312
Health Promotion,10,0.0005984440454817474,0.9040694195092752,313
Hospital Overcrowding,10,0.0005984440454817474,0.9046678635547569,314
Schools Administration,10,0.0005984440454817474,0.9052663076002386,315
National Parks and Wildlife Service,10,0.0005984440454817474,0.9058647516457203,316
Crime Prevention,10,0.0005984440454817474,0.906463195691202,317
Construction Industry,10,0.0005984440454817474,0.9070616397366837,318
Disadvantaged Status,10,0.0005984440454817474,0.9076600837821654,319
Beef Sector,10,0.0005984440454817474,0.9082585278276472,320
Abortion Services,10,0.0005984440454817474,0.9088569718731289,321
Family Resource Centres,10,0.0005984440454817474,0.9094554159186106,322
Addiction Treatment Services,10,0.0005984440454817474,0.9100538599640923,323
Public Expenditure Policy,10,0.0005984440454817474,0.910652304009574,324
Raidió Teilifís Éireann,10,0.0005984440454817474,0.9112507480550557,325
Enterprise Support Services,9,0.0005385996409335727,0.9117893476959893,326
Greenhouse Gas Emissions,9,0.0005385996409335727,0.9123279473369229,327
