question,department,question_clean,date,answer_type,question_number,refNo,deputy,deputy_source,language,raw_question,department_paper,source_question_paragraph,source_pq_paragraph
91. Deputy Michael Cahill asked the Minister for Social Protection if he has had any engagement with an organisation (details supplied) in relation to Budget 2027. [67198/26],Social,the minister for social protection if he has had any engagement with an organisation details supplied budget 2027 67198 26,2026-09-24,oral,91,67198/26,Michael Cahill,MICHAEL CAHILL,en,To ask the Minister for Social Protection if he has had any engagement with an organisation (details supplied) in relation to Budget 2027.,Social Protection,1339,1341
92. Deputy Darren O'Rourke asked the Minister for Social Protection his plans to tackle youth unemployment. [66583/26],Social,the minister for social protection his plans to tackle youth unemployment 66583 26,2026-09-24,oral,92,66583/26,Darren O'Rourke,DARREN O'ROURKE,en,To ask the Minister for Social Protection his plans to tackle youth unemployment.,Social Protection,1343,1345
93. Deputy Naoise Ó Cearúil asked the Minister for Social Protection whether his Department has assessed the impact of the child benefit payment rate remaining unchanged since 2016; and whether any review of the payment rate is planned. [67341/26],Social,the minister for social protection whether his department has assessed the impact of the child benefit payment rate remaining unchanged since 2016 and whether any review of the payment rate is planned 67341 26,2026-09-24,oral,93,67341/26,Naoise Ó Cearúil,NAOISE Ó CEARÚIL,en,To ask the Minister for Social Protection whether his Department has assessed the impact of the child benefit payment rate remaining unchanged since 2016; and whether any review of the payment rate is planned.,Social Protection,1347,1349
94. Deputy Albert Dolan asked the Minister for Social Protection the current status of the Government's commitment to review the means test for carer's allowance; and whether he is considering the abolition of the means test in recognition of the vital role played by family carers. [67391/26],Social,the minister for social protection the current status of the government s commitment to review the means test for carer s allowance and whether he is considering the abolition of the means test in recognition of the vital role played by family carers 67391 26,2026-09-24,oral,94,67391/26,Albert Dolan,ALBERT DOLAN,en,To ask the Minister for Social Protection the current status of the Government's commitment to review the means test for carer's allowance; and whether he is considering the abolition of the means test in recognition of the vital role played by family carers.,Social Protection,1351,1353
95. Deputy John Clendennen asked the Minister for Social Protection the next steps in terms of progressively increasing the weekly rates of Carer's allowance and Carer's Benefit as committed to in the Programme for Government. [67618/26],Social,the minister for social protection the next steps in terms of progressively increasing the weekly rates of carer s allowance and carer s benefit as committed to in the programme for government 67618 26,2026-09-24,oral,95,67618/26,John Clendennen,JOHN CLENDENNEN,en,To ask the Minister for Social Protection the next steps in terms of progressively increasing the weekly rates of Carer's allowance and Carer's Benefit as committed to in the Programme for Government.,Social Protection,1355,1357
"96. Deputy Grace Boland asked the Minister for Social Protection the measures are being taken to ensure that social welfare recipients can transition into further education, apprenticeships and training programmes without suffering a loss of income that would discourage participation. [66712/26]",Social,the minister for social protection the measures are being taken to ensure that social welfare recipients can transition into further education apprenticeships and training programmes without suffering a loss of income that would discourage participation 66712 26,2026-09-24,oral,96,66712/26,Grace Boland,GRACE BOLAND,en,"To ask the Minister for Social Protection the measures are being taken to ensure that social welfare recipients can transition into further education, apprenticeships and training programmes without suffering a loss of income that would discourage participation.",Social Protection,1359,1361
97. Deputy John Paul O'Shea asked the Minister for Social Protection if he will consider increasing the income thresholds for the Working Family Payment as part of Budget 2027. [66998/26],Social,the minister for social protection if he will consider increasing the income thresholds for the working family payment as part of budget 2027 66998 26,2026-09-24,oral,97,66998/26,John Paul O'Shea,JOHN PAUL O'SHEA,en,To ask the Minister for Social Protection if he will consider increasing the income thresholds for the Working Family Payment as part of Budget 2027.,Social Protection,1363,1365
"98. Deputy Seán Kyne asked the Minister for Social Protection whether he will undertake a review of opportunities for people to stay on employment schemes after they have turned 65 years old, given the valuable work they contribute and the shortage for people in schemes such as Tús and Community Schemes (CE) schemes in vulnerable communities. [67629/26]",Social,the minister for social protection whether he will undertake a review of opportunities for people to stay on employment schemes after they have turned 65 years old given the valuable work they contribute and the shortage for people in schemes such as tús and community schemes ce schemes in vulnerable communities 67629 26,2026-09-24,oral,98,67629/26,Seán Kyne,SEÁN KYNE,en,"To ask the Minister for Social Protection whether he will undertake a review of opportunities for people to stay on employment schemes after they have turned 65 years old, given the valuable work they contribute and the shortage for people in schemes such as Tús and Community Schemes (CE) schemes in vulnerable communities.",Social Protection,1367,1369
99. Deputy Mark Ward asked the Minister for Social Protection if persons on invalidity pensions are eligible for fuel allowance; to outline the criteria for fuel allowance; and if any changes will be included in the upcoming budget. [67324/26],Social,the minister for social protection if persons on invalidity pensions are eligible for fuel allowance the criteria for fuel allowance and if any changes will be included in the upcoming budget 67324 26,2026-09-24,oral,99,67324/26,Mark Ward,MARK WARD,en,To ask the Minister for Social Protection if persons on invalidity pensions are eligible for fuel allowance; to outline the criteria for fuel allowance; and if any changes will be included in the upcoming budget.,Social Protection,1371,1373
100. Deputy Richard Boyd Barrett asked the Minister for Social Protection his views on the possibility of a disability payment that is an entitlement for each person with a disability in the interests of equality and supporting independent living; and to make a statement on the matter. [67339/26],Social,the minister for social protection his views on the possibility of a disability payment that is an entitlement for each person with a disability in the interests of equality and supporting independent living and to make a statement on the matter 67339 26,2026-09-24,oral,100,67339/26,Richard Boyd Barrett,RICHARD BOYD BARRETT,en,To ask the Minister for Social Protection his views on the possibility of a disability payment that is an entitlement for each person with a disability in the interests of equality and supporting independent living; and to make a statement on the matter.,Social Protection,1375,1377
